vegetable,activity,week,date
spinach,harvest,19,5/10/2021
radish,harvest,19,5/10/2021
spinach,harvest,20,5/17/2021
mesclun_mix,harvest,20,5/17/2021
arugula,harvest,20,5/17/2021
radish,harvest,20,5/17/2021
spinach,harvest,21,5/24/2021
mesclun_mix,harvest,21,5/24/2021
arugula,harvest,21,5/24/2021
radish,harvest,21,5/24/2021
spinach,harvest,22,5/31/2021
mache,harvest,22,5/31/2021
mesclun_mix,harvest,22,5/31/2021
arugula,harvest,22,5/31/2021
radish,harvest,22,5/31/2021
chinese_cabbage,harvest,23,6/7/2021
spinach,harvest,23,6/7/2021
mache,harvest,23,6/7/2021
mesclun_mix,harvest,23,6/7/2021
arugula,harvest,23,6/7/2021
radish,harvest,23,6/7/2021
chinese_cabbage,harvest,24,6/14/2021
spinach,harvest,24,6/14/2021
lettuce,harvest,24,6/14/2021
mache,harvest,24,6/14/2021
mesclun_mix,harvest,24,6/14/2021
arugula,harvest,24,6/14/2021
turnip,harvest,24,6/14/2021
radish,harvest,24,6/14/2021
swiss_chard,harvest,25,6/21/2021
chinese_cabbage,harvest,25,6/21/2021
spinach,harvest,25,6/21/2021
lettuce,harvest,25,6/21/2021
mesclun_mix,harvest,25,6/21/2021
arugula,harvest,25,6/21/2021
turnip,harvest,25,6/21/2021
radish,harvest,25,6/21/2021
swiss_chard,harvest,26,6/28/2021
chinese_cabbage,harvest,26,6/28/2021
kale,harvest,26,6/28/2021
spinach,harvest,26,6/28/2021
lettuce,harvest,26,6/28/2021
mesclun_mix,harvest,26,6/28/2021
arugula,harvest,26,6/28/2021
turnip,harvest,26,6/28/2021
radish,harvest,26,6/28/2021
swiss_chard,harvest,27,7/5/2021
chinese_cabbage,harvest,27,7/5/2021
kale,harvest,27,7/5/2021
lettuce,harvest,27,7/5/2021
mesclun_mix,harvest,27,7/5/2021
arugula,harvest,27,7/5/2021
turnip,harvest,27,7/5/2021
green_onion,harvest,27,7/5/2021
swiss_chard,harvest,28,7/12/2021
chinese_cabbage,harvest,28,7/12/2021
kale,harvest,28,7/12/2021
lettuce,harvest,28,7/12/2021
mesclun_mix,harvest,28,7/12/2021
arugula,harvest,28,7/12/2021
turnip,harvest,28,7/12/2021
green_onion,harvest,28,7/12/2021
snow_pea,harvest,28,7/12/2021
artichoke,harvest,29,7/19/2021
swiss_chard,harvest,29,7/19/2021
chinese_cabbage,harvest,29,7/19/2021
kale,harvest,29,7/19/2021
summer_squash,harvest,29,7/19/2021
bean,harvest,29,7/19/2021
lettuce,harvest,29,7/19/2021
mesclun_mix,harvest,29,7/19/2021
arugula,harvest,29,7/19/2021
green_onion,harvest,29,7/19/2021
snow_pea,harvest,29,7/19/2021
tomato,harvest,29,7/19/2021
artichoke,harvest,30,7/26/2021
swiss_chard,harvest,30,7/26/2021
carrot,harvest,30,7/26/2021
chinese_cabbage,harvest,30,7/26/2021
kale,harvest,30,7/26/2021
summer_squash,harvest,30,7/26/2021
bean,harvest,30,7/26/2021
lettuce,harvest,30,7/26/2021
mesclun_mix,harvest,30,7/26/2021
arugula,harvest,30,7/26/2021
green_onion,harvest,30,7/26/2021
snow_pea,harvest,30,7/26/2021
tomato,harvest,30,7/26/2021
broccoli,harvest,31,8/2/2021
artichoke,harvest,31,8/2/2021
swiss_chard,harvest,31,8/2/2021
carrot,harvest,31,8/2/2021
chicory,harvest,31,8/2/2021
chinese_cabbage,harvest,31,8/2/2021
kale,harvest,31,8/2/2021
cabbage ,harvest,31,8/2/2021
cucumber,harvest,31,8/2/2021
summer_squash,harvest,31,8/2/2021
bean,harvest,31,8/2/2021
corn,harvest,31,8/2/2021
melon,harvest,31,8/2/2021
arugula,harvest,31,8/2/2021
onion,harvest,31,8/2/2021
green_onion,harvest,31,8/2/2021
pepper,harvest,31,8/2/2021
snow_pea,harvest,31,8/2/2021
rutabaga_leaf,harvest,31,8/2/2021
tomato,harvest,31,8/2/2021
broccoli,harvest,32,8/9/2021
eggplant,harvest,32,8/9/2021
artichoke,harvest,32,8/9/2021
swiss_chard,harvest,32,8/9/2021
beet,harvest,32,8/9/2021
carrot,harvest,32,8/9/2021
chicory,harvest,32,8/9/2021
kale,harvest,32,8/9/2021
cabbage ,harvest,32,8/9/2021
cucumber,harvest,32,8/9/2021
summer_squash,harvest,32,8/9/2021
bean,harvest,32,8/9/2021
corn,harvest,32,8/9/2021
melon,harvest,32,8/9/2021
arugula,harvest,32,8/9/2021
onion,harvest,32,8/9/2021
green_onion,harvest,32,8/9/2021
pepper,harvest,32,8/9/2021
snow_pea,harvest,32,8/9/2021
rutabaga_leaf,harvest,32,8/9/2021
edamame,harvest,32,8/9/2021
tomato,harvest,32,8/9/2021
broccoli,harvest,33,8/16/2021
eggplant,harvest,33,8/16/2021
artichoke,harvest,33,8/16/2021
swiss_chard,harvest,33,8/16/2021
beet,harvest,33,8/16/2021
carrot,harvest,33,8/16/2021
celery,harvest,33,8/16/2021
ground_cherry,harvest,33,8/16/2021
chicory,harvest,33,8/16/2021
kale,harvest,33,8/16/2021
cabbage ,harvest,33,8/16/2021
winter_squash,harvest,33,8/16/2021
cucumber,harvest,33,8/16/2021
summer_squash,harvest,33,8/16/2021
bean,harvest,33,8/16/2021
corn,harvest,33,8/16/2021
melon,harvest,33,8/16/2021
onion,harvest,33,8/16/2021
green_onion,harvest,33,8/16/2021
pepper,harvest,33,8/16/2021
snow_pea,harvest,33,8/16/2021
rutabaga_leaf,harvest,33,8/16/2021
edamame,harvest,33,8/16/2021
tomato,harvest,33,8/16/2021
broccoli,harvest,34,8/23/2021
eggplant,harvest,34,8/23/2021
artichoke,harvest,34,8/23/2021
swiss_chard,harvest,34,8/23/2021
beet,harvest,34,8/23/2021
carrot,harvest,34,8/23/2021
celery,harvest,34,8/23/2021
ground_cherry,harvest,34,8/23/2021
chicory,harvest,34,8/23/2021
kale,harvest,34,8/23/2021
cabbage ,harvest,34,8/23/2021
winter_squash,harvest,34,8/23/2021
cucumber,harvest,34,8/23/2021
summer_squash,harvest,34,8/23/2021
bean,harvest,34,8/23/2021
corn,harvest,34,8/23/2021
melon,harvest,34,8/23/2021
onion,harvest,34,8/23/2021
green_onion,harvest,34,8/23/2021
pepper,harvest,34,8/23/2021
leek,harvest,34,8/23/2021
snow_pea,harvest,34,8/23/2021
rutabaga_leaf,harvest,34,8/23/2021
edamame,harvest,34,8/23/2021
tomato,harvest,34,8/23/2021
broccoli,harvest,35,8/30/2021
eggplant,harvest,35,8/30/2021
artichoke,harvest,35,8/30/2021
swiss_chard,harvest,35,8/30/2021
beet,harvest,35,8/30/2021
carrot,harvest,35,8/30/2021
celery,harvest,35,8/30/2021
ground_cherry,harvest,35,8/30/2021
chicory,harvest,35,8/30/2021
kale,harvest,35,8/30/2021
cabbage ,harvest,35,8/30/2021
winter_squash,harvest,35,8/30/2021
cucumber,harvest,35,8/30/2021
summer_squash,harvest,35,8/30/2021
bean,harvest,35,8/30/2021
corn,harvest,35,8/30/2021
melon,harvest,35,8/30/2021
onion,harvest,35,8/30/2021
green_onion,harvest,35,8/30/2021
pepper,harvest,35,8/30/2021
leek,harvest,35,8/30/2021
snow_pea,harvest,35,8/30/2021
edamame,harvest,35,8/30/2021
tomato,harvest,35,8/30/2021
broccoli,harvest,36,9/6/2021
eggplant,harvest,36,9/6/2021
artichoke,harvest,36,9/6/2021
swiss_chard,harvest,36,9/6/2021
beet,harvest,36,9/6/2021
carrot,harvest,36,9/6/2021
celery,harvest,36,9/6/2021
ground_cherry,harvest,36,9/6/2021
chicory,harvest,36,9/6/2021
brussel_sprout,harvest,36,9/6/2021
kale,harvest,36,9/6/2021
cabbage ,harvest,36,9/6/2021
winter_squash,harvest,36,9/6/2021
cucumber,harvest,36,9/6/2021
summer_squash,harvest,36,9/6/2021
bean,harvest,36,9/6/2021
corn,harvest,36,9/6/2021
melon,harvest,36,9/6/2021
onion,harvest,36,9/6/2021
green_onion,harvest,36,9/6/2021
pepper,harvest,36,9/6/2021
leek,harvest,36,9/6/2021
snow_pea,harvest,36,9/6/2021
edamame,harvest,36,9/6/2021
tomato,harvest,36,9/6/2021
broccoli,harvest,37,9/13/2021
eggplant,harvest,37,9/13/2021
artichoke,harvest,37,9/13/2021
swiss_chard,harvest,37,9/13/2021
beet,harvest,37,9/13/2021
carrot,harvest,37,9/13/2021
celery,harvest,37,9/13/2021
ground_cherry,harvest,37,9/13/2021
chicory,harvest,37,9/13/2021
brussel_sprout,harvest,37,9/13/2021
kale,harvest,37,9/13/2021
cabbage ,harvest,37,9/13/2021
winter_squash,harvest,37,9/13/2021
cucumber,harvest,37,9/13/2021
summer_squash,harvest,37,9/13/2021
bean,harvest,37,9/13/2021
corn,harvest,37,9/13/2021
melon,harvest,37,9/13/2021
onion,harvest,37,9/13/2021
green_onion,harvest,37,9/13/2021
pepper,harvest,37,9/13/2021
leek,harvest,37,9/13/2021
snow_pea,harvest,37,9/13/2021
edamame,harvest,37,9/13/2021
tomato,harvest,37,9/13/2021
broccoli,harvest,38,9/20/2021
eggplant,harvest,38,9/20/2021
artichoke,harvest,38,9/20/2021
swiss_chard,harvest,38,9/20/2021
beet,harvest,38,9/20/2021
carrot,harvest,38,9/20/2021
celery,harvest,38,9/20/2021
ground_cherry,harvest,38,9/20/2021
chicory,harvest,38,9/20/2021
brussel_sprout,harvest,38,9/20/2021
kale,harvest,38,9/20/2021
cabbage ,harvest,38,9/20/2021
winter_squash,harvest,38,9/20/2021
cucumber,harvest,38,9/20/2021
summer_squash,harvest,38,9/20/2021
bean,harvest,38,9/20/2021
corn,harvest,38,9/20/2021
melon,harvest,38,9/20/2021
pepper,harvest,38,9/20/2021
leek,harvest,38,9/20/2021
edamame,harvest,38,9/20/2021
tomato,harvest,38,9/20/2021
broccoli,harvest,39,9/27/2021
eggplant,harvest,39,9/27/2021
artichoke,harvest,39,9/27/2021
swiss_chard,harvest,39,9/27/2021
beet,harvest,39,9/27/2021
carrot,harvest,39,9/27/2021
celeriac,harvest,39,9/27/2021
ground_cherry,harvest,39,9/27/2021
chicory,harvest,39,9/27/2021
brussel_sprout,harvest,39,9/27/2021
kale,harvest,39,9/27/2021
cabbage ,harvest,39,9/27/2021
winter_squash,harvest,39,9/27/2021
bean,harvest,39,9/27/2021
lettuce,harvest,39,9/27/2021
mesclun_mix,harvest,39,9/27/2021
pepper,harvest,39,9/27/2021
leek,harvest,39,9/27/2021
turnip,harvest,39,9/27/2021
edamame,harvest,39,9/27/2021
tomato,harvest,39,9/27/2021
swiss_chard,harvest,40,10/4/2021
beet,harvest,40,10/4/2021
carrot,harvest,40,10/4/2021
celeriac,harvest,40,10/4/2021
ground_cherry,harvest,40,10/4/2021
chicory,harvest,40,10/4/2021
brussel_sprout,harvest,40,10/4/2021
kale,harvest,40,10/4/2021
cabbage ,harvest,40,10/4/2021
winter_squash,harvest,40,10/4/2021
spinach,harvest,40,10/4/2021
bean,harvest,40,10/4/2021
lettuce,harvest,40,10/4/2021
mesclun_mix,harvest,40,10/4/2021
arugula,harvest,40,10/4/2021
turnip,harvest,40,10/4/2021
parsnip,harvest,40,10/4/2021
pepper,harvest,40,10/4/2021
leek,harvest,40,10/4/2021
radish,harvest,40,10/4/2021
radish,harvest,40,10/4/2021
turnip,harvest,40,10/4/2021
tomato,harvest,40,10/4/2021
swiss_chard,harvest,41,10/11/2021
beet,harvest,41,10/11/2021
carrot,harvest,41,10/11/2021
celeriac,harvest,41,10/11/2021
chicory,harvest,41,10/11/2021
chinese_cabbage,harvest,41,10/11/2021
brussel_sprout,harvest,41,10/11/2021
kale,harvest,41,10/11/2021
cabbage ,harvest,41,10/11/2021
spinach,harvest,41,10/11/2021
bean,harvest,41,10/11/2021
lettuce,harvest,41,10/11/2021
mache,harvest,41,10/11/2021
mesclun_mix,harvest,41,10/11/2021
arugula,harvest,41,10/11/2021
turnip,harvest,41,10/11/2021
parsnip,harvest,41,10/11/2021
pepper,harvest,41,10/11/2021
leek,harvest,41,10/11/2021
radish,harvest,41,10/11/2021
radish,harvest,41,10/11/2021
turnip,harvest,41,10/11/2021
swiss_chard,harvest,42,10/18/2021
beet,harvest,42,10/18/2021
carrot,harvest,42,10/18/2021
celeriac,harvest,42,10/18/2021
chinese_cabbage,harvest,42,10/18/2021
kale,harvest,42,10/18/2021
spinach,harvest,42,10/18/2021
lettuce,harvest,42,10/18/2021
mache,harvest,42,10/18/2021
mesclun_mix,harvest,42,10/18/2021
arugula,harvest,42,10/18/2021
turnip,harvest,42,10/18/2021
parsnip,harvest,42,10/18/2021
leek,harvest,42,10/18/2021
radish,harvest,42,10/18/2021
radish,harvest,42,10/18/2021
turnip,harvest,42,10/18/2021
swiss_chard,harvest,43,10/25/2021
beet,harvest,43,10/25/2021
carrot,harvest,43,10/25/2021
celeriac,harvest,43,10/25/2021
chinese_cabbage,harvest,43,10/25/2021
kale,harvest,43,10/25/2021
spinach,harvest,43,10/25/2021
lettuce,harvest,43,10/25/2021
mache,harvest,43,10/25/2021
mesclun_mix,harvest,43,10/25/2021
arugula,harvest,43,10/25/2021
turnip,harvest,43,10/25/2021
parsnip,harvest,43,10/25/2021
radish,harvest,43,10/25/2021
radish,harvest,43,10/25/2021
turnip,harvest,43,10/25/2021
